time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2016-01-07T10:12:52.440Z,36.4596,-98.723,5,2.8,mb_lg,,110,0.238,0.27,us,us10004c2b,2016-01-07T11:04:46.103Z,"30km NW of Fairview, Oklahoma",earthquake
2016-01-07T10:08:42.300Z,33.9174995,-117.7600021,2.17,1.19,ml,13,86,0.09204,0.1,ci,ci37510848,2016-01-07T10:11:13.624Z,"6km ENE of Yorba Linda, California",earthquake
2016-01-07T10:00:49.000Z,19.2157,-64.5615,16,3.1,Md,3,309.6,0.79590734,0.18,pr,pr16007032,2016-01-07T14:53:44.900Z,"88km N of Road Town, British Virgin Islands",earthquake
2016-01-07T09:58:37.100Z,19.1215,-64.7045,36,3,Md,5,298.8,0.7051775,0.12,pr,pr16007031,2016-01-07T14:35:35.056Z,"78km N of Road Town, British Virgin Islands",earthquake
2016-01-07T09:53:04.000Z,18.9563,-64.5111,35,3.1,Md,4,334.8,0.73212696,0.3,pr,pr16007030,2016-01-07T14:26:05.969Z,"60km N of Road Town, British Virgin Islands",earthquake
2016-01-07T09:41:59.840Z,34.0073318,-117.1781693,13.25,1.6,ml,63,40,0.05997,0.16,ci,ci37510840,2016-01-07T09:53:11.830Z,"5km S of Redlands, California",earthquake
2016-01-07T09:41:45.000Z,61.8167,-151.347,92.3,2.1,ml,,,,0.47,ak,ak12442789,2016-01-07T09:49:01.361Z,"69km W of Willow, Alaska",earthquake
2016-01-07T09:33:22.790Z,36.4976,-98.6684,5.47,2.9,mb_lg,,55,0.212,0.45,us,us10004c25,2016-01-07T13:39:10.130Z,"30km NNW of Fairview, Oklahoma",earthquake
2016-01-07T09:14:31.000Z,59.9121,-152.5349,74.6,1.6,ml,,,,0.71,ak,ak12442647,2016-01-07T09:20:20.246Z,"42km WNW of Anchor Point, Alaska",earthquake
2016-01-07T09:04:44.000Z,19.0683,-64.5651,39,3,Md,3,342,0.80219555,0.25,pr,pr16007029,2016-01-07T14:25:08.547Z,"72km N of Road Town, British Virgin Islands",earthquake
2016-01-07T09:00:04.200Z,19.1683,-64.6526,17,3.4,Md,14,288,0.74829663,0.25,pr,pr16007011,2016-01-07T09:54:28.463Z,"83km N of Road Town, British Virgin Islands",earthquake
2016-01-07T08:55:51.420Z,40.2993317,-124.2919998,13.27,1.97,md,6,220,0.02337,0.04,nc,nc72574530,2016-01-07T12:29:04.478Z,"27km SW of Rio Dell, California",earthquake
2016-01-07T08:51:48.700Z,19.041,-64.6224,65,3,Md,4,306,0.61983755,0.25,pr,pr16007028,2016-01-07T13:56:22.810Z,"69km N of Road Town, British Virgin Islands",earthquake
2016-01-07T08:48:08.100Z,18.9662,-64.6774,37,2.9,Md,3,338.4,0.66475331,0.3,pr,pr16007027,2016-01-07T13:55:39.375Z,"61km N of Road Town, British Virgin Islands",earthquake
2016-01-07T08:47:02.500Z,19.086,-64.571,50,2.9,Md,3,342,0.81567028,0.17,pr,pr16007024,2016-01-07T13:38:46.967Z,"74km N of Road Town, British Virgin Islands",earthquake
2016-01-07T08:37:11.580Z,36.4712,-98.6662,5,4,mb_lg,,29,0.239,0.48,us,us10004c1m,2016-01-07T14:16:39.940Z,"27km NW of Fairview, Oklahoma",earthquake
2016-01-07T08:34:26.800Z,33.973999,-116.9195023,4.16,1.54,ml,36,32,0.07302,0.12,ci,ci37510832,2016-01-07T08:45:38.620Z,"7km NW of Banning, California",earthquake
2016-01-07T08:32:53.300Z,18.9974,-64.6524,56,3.2,Md,5,298.8,0.57851504,0.17,pr,pr16007023,2016-01-07T13:19:20.625Z,"64km N of Road Town, British Virgin Islands",earthquake
2016-01-07T08:31:13.500Z,19.1625,-64.685,14,2.8,Md,4,306,0.74470337,0.2,pr,pr16007021,2016-01-07T13:12:55.380Z,"82km N of Road Town, British Virgin Islands",earthquake
2016-01-07T08:29:54.000Z,63.1888,-149.8441,14.3,1.3,ml,,,,0.78,ak,ak12442596,2016-01-07T08:37:39.661Z,"50km WSW of Cantwell, Alaska",earthquake
2016-01-07T08:29:28.690Z,40.2886658,-124.3324966,16.81,3.59,ml,14,229,0.04965,0.09,nc,nc72574520,2016-01-07T14:49:29.382Z,"30km SW of Rio Dell, California",earthquake
2016-01-07T08:28:50.300Z,19.0827,-64.6389,13,3,Md,4,324,0.78602587,0.15,pr,pr16007020,2016-01-07T13:11:27.988Z,"73km N of Road Town, British Virgin Islands",earthquake
2016-01-07T08:26:16.900Z,19.1644,-64.597,11,2.8,Md,3,309.6,0.74380506,0.25,pr,pr16007019,2016-01-07T12:49:41.299Z,"82km N of Road Town, British Virgin Islands",earthquake
2016-01-07T08:13:35.730Z,36.6316681,-121.2511673,9.97,1.97,md,17,112,0.03902,0.05,nc,nc72574515,2016-01-07T11:36:04.365Z,"22km NE of Gonzales, California",earthquake
2016-01-07T08:12:34.560Z,38.8209991,-122.8063354,2.47,1.64,md,26,61,0.003775,0.02,nc,nc72574510,2016-01-07T11:11:04.287Z,"6km NW of The Geysers, California",earthquake
2016-01-07T08:10:41.400Z,18.4515,-64.5416,94,2.9,Md,4,342,0.07905175,0.12,pr,pr16007018,2016-01-07T12:35:23.605Z,"8km ENE of Road Town, British Virgin Islands",earthquake
2016-01-07T08:06:15.250Z,36.464,-98.7157,5,3.7,mb_lg,,110,0.243,0.56,us,us10004c10,2016-01-07T10:07:38.609Z,"30km NW of Fairview, Oklahoma",earthquake
2016-01-07T08:06:00.500Z,19.0837,-64.7108,10,3,Md,5,295.2,0.66924489,0.23,pr,pr16007017,2016-01-07T12:27:32.109Z,"74km N of Road Town, British Virgin Islands",earthquake
2016-01-07T08:02:31.730Z,36.4796,-98.7083,6.68,3.3,mb_lg,,84,0.228,0.31,us,us10004c0z,2016-01-07T08:12:00.835Z,"31km NW of Fairview, Oklahoma",earthquake
2016-01-07T08:00:52.000Z,19.2285,-64.7419,52,3,Md,5,306,0.81567028,0.15,pr,pr16007016,2016-01-07T12:07:35.912Z,"90km N of Road Town, British Virgin Islands",earthquake
2016-01-07T07:56:31.400Z,19.1653,-64.7113,10,2.8,Md,4,306,0.75009326,0.18,pr,pr16007015,2016-01-07T11:56:55.925Z,"83km N of Road Town, British Virgin Islands",earthquake
2016-01-07T07:55:15.510Z,33.4841652,-116.4840012,13.99,1.11,ml,22,98,0.06248,0.12,ci,ci37510824,2016-01-07T07:58:02.859Z,"19km ESE of Anza, California",earthquake
2016-01-07T07:55:10.500Z,19.145,-64.6652,11,3.1,Md,8,291.6,0.72583875,0.38,pr,pr16007014,2016-01-07T11:46:21.173Z,"80km N of Road Town, British Virgin Islands",earthquake
2016-01-07T07:53:16.000Z,19.1623,-64.6565,27,3.1,Md,13,280.8,0.74111011,0.2,pr,pr16007010,2016-01-07T09:02:12.914Z,"82km N of Road Town, British Virgin Islands",earthquake
2016-01-07T07:50:03.250Z,36.5009,-98.7147,7.91,2.5,mb_lg,,118,0.206,0.34,us,us10004c0q,2016-01-07T08:25:27.430Z,"33km NW of Fairview, Oklahoma",earthquake
2016-01-07T07:49:09.800Z,19.1317,-64.732,19,3.7,Md,21,270,0.71865223,0.23,pr,pr16007009,2016-01-07T08:27:46.452Z,"56km NNW of Road Town, British Virgin Islands",earthquake
2016-01-07T07:44:07.700Z,19.1632,-64.6345,10,2.9,Md,3,316.8,0.74200842,0.18,pr,pr16007013,2016-01-07T11:34:45.673Z,"82km N of Road Town, British Virgin Islands",earthquake
2016-01-07T07:42:08.000Z,61.9217,-152.0436,100,2.2,ml,,,,0.53,ak,ak12442432,2016-01-07T08:02:43.395Z,"107km WNW of Willow, Alaska",earthquake
2016-01-07T07:29:56.220Z,33.9920006,-116.6934967,3.11,1.5,ml,14,130,0.2057,0.24,ci,ci37510808,2016-01-07T07:32:52.663Z,"12km NE of Cabazon, California",earthquake
2016-01-07T07:29:04.370Z,34.3363342,-116.9151688,7.66,1.23,ml,15,125,0.0735,0.18,ci,ci37510800,2016-01-07T07:31:57.654Z,"10km N of Big Bear Lake, California",earthquake
2016-01-07T07:27:39.800Z,19.1574,-64.712,24,3.4,Md,13,280.8,0.74111011,0.31,pr,pr16007008,2016-01-07T07:50:16.861Z,"82km N of Road Town, British Virgin Islands",earthquake
2016-01-07T07:13:50.330Z,34.0304985,-116.8119965,19.63,1.36,ml,27,84,0.1082,0.11,ci,ci37510784,2016-01-07T07:16:47.564Z,"13km N of Cabazon, California",earthquake
2016-01-07T07:03:06.100Z,19.1541,-64.7113,24,3.4,Md,15,280.8,0.73751685,0.27,pr,pr16007007,2016-01-07T07:30:34.772Z,"82km N of Road Town, British Virgin Islands",earthquake
2016-01-07T06:42:57.740Z,35.6735,-97.4229,7.83,2.8,mb_lg,,68,0.092,0.42,us,us10004c07,2016-01-07T14:09:27.350Z,"5km ENE of Edmond, Oklahoma",earthquake
2016-01-07T06:38:34.230Z,36.4823,-98.7213,8.41,3.5,mb_lg,,96,0.225,0.51,us,us10004c06,2016-01-07T13:58:54.550Z,"32km NW of Fairview, Oklahoma",earthquake
2016-01-07T06:37:29.000Z,58.8346,-142.5747,34.6,2.6,ml,,,,0.5,ak,ak12442266,2016-01-07T06:58:04.439Z,"137km S of Cape Yakataga, Alaska",earthquake
2016-01-07T06:20:18.520Z,36.4682,-98.7129,1.17,2.6,mb_lg,,92,0.239,0.49,us,us10004c04,2016-01-07T07:01:50.224Z,"30km NW of Fairview, Oklahoma",earthquake
2016-01-07T06:06:08.230Z,-21.427,-179.2541,607.2,4.6,mb,,52,4.456,0.65,us,us10004c02,2016-01-07T06:35:24.268Z,"103km SSW of Ndoi Island, Fiji",earthquake
2016-01-07T06:03:28.890Z,36.5221,-98.6831,5,3.2,mb_lg,,112,0.187,0.23,us,us10004bzz,2016-01-07T06:47:12.030Z,"31km S of Alva, Oklahoma",earthquake
2016-01-07T05:57:17.430Z,40.2871666,-124.3399963,15.9,2.4,md,8,231,0.05498,0.11,nc,nc72574500,2016-01-07T09:27:05.042Z,"30km SW of Rio Dell, California",earthquake
2016-01-07T05:49:52.330Z,40.2840004,-124.3464966,17.41,4.31,mw,18,227,0.06084,0.09,nc,nc72574495,2016-01-07T14:54:17.615Z,"31km SW of Rio Dell, California",earthquake
2016-01-07T05:39:33.990Z,40.5536652,-123.3529968,23.59,2.21,md,12,106,0.1236,0.06,nc,nc72574490,2016-01-07T08:39:05.687Z,"14km W of Hayfork, California",earthquake
2016-01-07T05:37:48.710Z,36.474,-98.7159,3.87,3,mb_lg,,93,0.233,0.44,us,us10004bzn,2016-01-07T06:33:23.730Z,"31km NW of Fairview, Oklahoma",earthquake
2016-01-07T05:24:05.630Z,34.0066681,-117.1806641,14.05,2.27,ml,95,21,0.0595,0.17,ci,ci37510776,2016-01-07T12:31:41.717Z,"5km S of Redlands, California",earthquake
2016-01-07T05:19:48.480Z,36.4785,-98.5957,5,3.3,mb_lg,,85,0.246,0.5,us,us10004bze,2016-01-07T06:27:11.657Z,"25km NNW of Fairview, Oklahoma",earthquake
2016-01-07T04:49:47.190Z,36.4666,-98.7203,5,3.4,mb_lg,,137,0.241,0.35,us,us10004bz7,2016-01-07T13:55:17.112Z,"30km NW of Fairview, Oklahoma",earthquake
2016-01-07T04:43:54.800Z,18.1537,-67.2802,22,2.5,Md,9,187.2,0.18595126,0.09,pr,pr16007002,2016-01-07T05:02:12.484Z,"13km NW of Puerto Real, Puerto Rico",earthquake
2016-01-07T04:40:11.420Z,33.9669991,-116.8858337,17.56,1.42,ml,39,56,0.09353,0.13,ci,ci37510768,2016-01-07T04:51:24.440Z,"5km N of Banning, California",earthquake
2016-01-07T04:37:22.670Z,36.5067,-98.7058,5,3.4,ml,,128,0.201,0.54,us,us10004bz6,2016-01-07T14:08:28.162Z,"33km S of Alva, Oklahoma",earthquake
2016-01-07T04:28:00.920Z,33.0740013,-116.4651642,11.11,1.55,ml,29,88,0.1114,0.18,ci,ci37510760,2016-01-07T04:39:12.330Z,"13km E of Julian, California",earthquake
2016-01-07T04:27:58.780Z,36.4931,-98.7142,5.96,4.8,mb,,127,0.214,1,us,us10004bz5,2016-01-07T14:55:18.581Z,"32km NW of Fairview, Oklahoma",earthquake
2016-01-07T04:27:28.520Z,36.4752,-98.7281,3.35,4.7,mwr,,56,0.233,0.24,us,us10004bz1,2016-01-07T14:53:20.273Z,"31km NW of Fairview, Oklahoma",earthquake
2016-01-07T04:26:13.000Z,61.574,-146.2897,49.8,1.5,ml,,,,0.35,ak,ak12441966,2016-01-07T04:46:25.593Z,"49km N of Valdez, Alaska",earthquake
2016-01-07T04:00:30.750Z,40.2871666,-124.3118362,15.07,3.32,ml,9,260,0.04065,0.07,nc,nc72574475,2016-01-07T08:06:20.339Z,"29km SW of Rio Dell, California",earthquake
2016-01-07T03:37:57.100Z,19.2028,-64.6955,24,3,Md,4,306,0.78512756,0.31,pr,pr16007026,2016-01-07T14:00:42.969Z,"87km N of Road Town, British Virgin Islands",earthquake
2016-01-07T03:34:57.530Z,34.0085,-117.1793333,14.17,1.26,ml,62,46,0.06121,0.2,ci,ci37510752,2016-01-07T14:39:24.836Z,"5km S of Redlands, California",earthquake
2016-01-07T03:12:46.600Z,19.1131,-64.6778,45,3.2,Md,10,280.8,0.69529603,0.21,pr,pr16007025,2016-01-07T13:59:32.690Z,"77km N of Road Town, British Virgin Islands",earthquake
2016-01-07T02:55:11.600Z,19.1639,-64.6125,25,2.5,Md,3,331.2,0.87046751,0.15,pr,pr16007006,2016-01-07T06:13:32.934Z,"82km N of Road Town, British Virgin Islands",earthquake
2016-01-07T02:52:34.000Z,51.5798,-175.2675,25.6,4.9,ml,,,,1.17,ak,ak12441729,2016-01-07T03:34:41.542Z,"100km SW of Atka, Alaska",earthquake
2016-01-07T02:50:23.900Z,19.0935,-64.6415,57,3,Md,5,306,0.67373646,0.12,pr,pr16007005,2016-01-07T05:59:57.461Z,"74km N of Road Town, British Virgin Islands",earthquake
2016-01-07T02:46:22.930Z,34.3931667,-119.5686667,13.28,2.1,ml,30,113,0.04417,0.22,ci,ci37510744,2016-01-07T14:26:28.570Z,"5km W of Carpinteria, California",earthquake
2016-01-07T02:45:58.000Z,62.4579,-149.1375,53.4,1.1,ml,,,,0.33,ak,ak12441728,2016-01-07T03:47:59.622Z,"49km NE of Y, Alaska",earthquake
2016-01-07T02:45:12.710Z,38.8306656,-122.80867,0.93,2.15,md,30,43,0.007342,0.04,nc,nc72574460,2016-01-07T06:28:04.621Z,"7km W of Cobb, California",earthquake
2016-01-07T02:26:08.950Z,34.3806667,-119.5643333,13.33,2.06,ml,29,115,0.04425,0.25,ci,ci37510736,2016-01-07T14:18:55.920Z,"5km WSW of Carpinteria, California",earthquake
2016-01-07T02:15:07.910Z,35.6752,-97.4095,5,3.2,mb_lg,,78,0.094,0.2,us,us10004byj,2016-01-07T13:54:45.950Z,"6km ENE of Edmond, Oklahoma",earthquake
2016-01-07T02:03:50.577Z,41.8795,-119.6046,6.9,1.5,ml,5,220.79,0.159,0.0864,nn,nn00525687,2016-01-07T02:15:55.633Z,"70km ESE of Lakeview, Oregon",earthquake
2016-01-07T01:35:12.730Z,34.4665,-118.4606667,10.44,1.63,ml,32,42,0.03446,0.19,ci,ci37510728,2016-01-07T01:47:32.990Z,"7km NE of Santa Clarita, California",earthquake
2016-01-07T01:30:15.890Z,38.6884,-119.1292,9.3,1.2,ml,13,161.71,0.309,0.1694,nn,nn00525684,2016-01-07T01:51:23.798Z,"21km ESE of Smith Valley, Nevada",earthquake
2016-01-07T01:20:55.720Z,35.6787,-97.4227,7.3,2.5,mb_lg,,37,0.097,0.55,us,us10004byd,2016-01-07T04:47:31.142Z,"5km ENE of Edmond, Oklahoma",earthquake
2016-01-07T00:55:37.700Z,19.141,-64.65,48,2.7,Md,3,316.8,0.72134717,0.12,pr,pr16007004,2016-01-07T05:44:01.948Z,"80km N of Road Town, British Virgin Islands",earthquake
2016-01-07T00:54:03.600Z,18.3318,-67.4572,22,2.6,Md,9,201.6,0.05479723,0.41,pr,pr16007003,2016-01-07T05:21:15.448Z,"21km W of Rincon, Puerto Rico",earthquake
2016-01-07T00:41:02.571Z,41.8888,-119.6263,7.8,1.5,ml,5,218.73,0.141,0.1519,nn,nn00525682,2016-01-07T01:38:59.144Z,"68km ESE of Lakeview, Oregon",earthquake
2016-01-07T00:32:48.000Z,66.3259,-153.358,3,1.9,ml,,,,0.7,ak,ak12441498,2016-01-07T00:45:46.414Z,"39km SW of New Allakaket, Alaska",earthquake
2016-01-07T00:24:23.240Z,34.0055,-117.1795,14.68,2.39,ml,93,22,0.05824,0.13,ci,ci37510720,2016-01-07T08:30:15.989Z,"6km S of Redlands, California",earthquake
2016-01-07T00:16:42.500Z,34.1655,-117.5971667,11.74,1.81,ml,48,36,0.05611,0.13,ci,ci37510712,2016-01-07T01:30:53.010Z,"5km NNW of Rancho Cucamonga, California",earthquake
2016-01-07T00:08:39.200Z,19.1091,-64.6648,56,2.7,Md,4,306,0.68990614,0.11,pr,pr16007001,2016-01-07T04:52:05.650Z,"76km N of Road Town, British Virgin Islands",earthquake
2016-01-07T00:07:01.900Z,18.9689,-64.5996,65,2.9,Md,5,327.6,0.69978761,0.23,pr,pr16007000,2016-01-07T04:31:12.886Z,"61km N of Road Town, British Virgin Islands",earthquake
2016-01-06T23:16:21.600Z,19.0715,-68.2975,38,2.5,Md,4,288,0.56054874,0.31,pr,pr16006043,2016-01-07T04:12:47.467Z,"55km NNE of Punta Cana, Dominican Republic",earthquake
2016-01-06T23:14:41.130Z,35.0006667,-118.21,-0.97,1.33,ml,6,142,0.1085,0.1,ci,ci37510704,2016-01-06T23:53:49.391Z,"7km SSW of Mojave, California",quarry blast
2016-01-06T23:09:27.330Z,38.774334,-122.725502,1.18,1,md,11,96,0.006546,0.06,nc,nc72574415,2016-01-06T23:56:05.051Z,"2km E of The Geysers, California",earthquake
2016-01-06T23:06:21.000Z,63.5797,-147.2819,0.2,1.8,ml,,,,0.6,ak,ak12441300,2016-01-06T23:13:33.157Z,"85km ENE of Cantwell, Alaska",earthquake
2016-01-06T23:04:58.780Z,-8.6247,118.3026,131.89,4.2,mb,,77,3.864,1.12,us,us10004bxl,2016-01-06T23:34:42.679Z,"7km S of Npongge, Indonesia",earthquake
2016-01-06T22:55:14.000Z,65.7537,-147.3913,3.9,1.6,ml,,,,0.83,ak,ak12441293,2016-01-06T23:07:05.649Z,"101km N of College, Alaska",earthquake
2016-01-06T22:52:32.590Z,38.8503342,-122.8040009,6.53,1.22,md,8,175,0.01571,0.1,nc,nc72574400,2016-01-07T02:31:04.173Z,"7km WNW of Cobb, California",earthquake
2016-01-06T22:37:33.964Z,38.6526,-118.7954,9.4,1.4,ml,10,140.7,0.215,0.1287,nn,nn00525660,2016-01-06T22:50:18.824Z,"20km NW of Hawthorne, Nevada",earthquake
2016-01-06T22:37:03.740Z,46.2635,-119.3881667,0.018,1.13,ml,9,235,0.04879,0.07,uw,uw61117181,2016-01-06T23:12:24.620Z,"4km SSW of West Richland, Washington",explosion
2016-01-06T22:34:03.430Z,38.8188324,-122.7614975,0.94,1.79,md,27,47,0.01335,0.07,nc,nc72574395,2016-01-07T02:04:03.953Z,"3km W of Cobb, California",earthquake
2016-01-06T22:27:48.600Z,19.0958,-65.1887,38,3,Md,6,288,0.77255114,0.11,pr,pr16006042,2016-01-06T23:58:35.699Z,"87km NNW of Charlotte Amalie, U.S. Virgin Islands",earthquake
2016-01-06T22:27:47.960Z,38.8226662,-122.8420029,1.76,1.35,md,20,113,0.005465,0.02,nc,nc72574390,2016-01-07T01:36:05.879Z,"8km NW of The Geysers, California",earthquake
2016-01-06T22:14:56.280Z,49.4208333,-120.5425,0.02,2.39,md,8,244,0.6141,0.35,uw,uw61117166,2016-01-06T23:03:51.179Z,"4km SSW of Princeton, Canada",explosion
2016-01-06T22:09:51.915Z,41.8671,-119.6255,7.1,1,ml,4,222.28,0.153,0.0937,nn,nn00525653,2016-01-06T22:28:39.463Z,"69km ESE of Lakeview, Oregon",earthquake
2016-01-06T21:36:42.000Z,62.3462,-151.2489,100,2.1,ml,,,,0.33,ak,ak12441077,2016-01-06T21:50:36.955Z,"59km W of Talkeetna, Alaska",earthquake
2016-01-06T21:35:04.530Z,19.0558333,-155.3473333,33.163,1.86,md,23,286,0.1469,0.09,hv,hv61144376,2016-01-06T22:40:52.920Z,"21km SE of Pahala, Hawaii",earthquake
2016-01-06T21:31:38.000Z,64.9593,-147.4484,0,1.6,ml,,,,0.57,ak,ak12441074,2016-01-06T21:44:11.872Z,"18km NE of Fairbanks, Alaska",earthquake
2016-01-06T21:28:55.000Z,61.5933,-141.1335,0,1.6,ml,,,,0.57,ak,ak12441072,2016-01-06T21:44:11.108Z,"175km E of Chitina, Alaska",earthquake
2016-01-06T21:23:20.820Z,-29.1645,-69.0132,92.3,4.6,mb,,44,1.484,1.12,us,us10004bwx,2016-01-06T23:25:11.667Z,"90km WSW of Vinchina, Argentina",earthquake
2016-01-06T21:17:24.000Z,19.1842,-64.6796,38,3.3,Md,7,284.4,0.76446631,0.11,pr,pr16006040,2016-01-06T23:19:51.978Z,"85km N of Road Town, British Virgin Islands",earthquake
2016-01-06T21:15:38.400Z,19.0594,-64.8089,62,2.7,Md,3,334.8,0.7168556,0.07,pr,pr16006041,2016-01-06T23:29:07.765Z,"73km NNW of Road Town, British Virgin Islands",earthquake
2016-01-06T21:12:25.000Z,61.5909,-141.0868,9.6,1.8,ml,,,,0.53,ak,ak12441065,2016-01-06T21:21:38.292Z,"178km E of Chitina, Alaska",earthquake
2016-01-06T21:08:52.000Z,61.6358,-149.9838,33.5,1.7,ml,,,,0.51,ak,ak12441063,2016-01-06T21:21:36.990Z,"8km W of Houston, Alaska",earthquake
2016-01-06T21:07:02.150Z,47.1618333,-121.768,0.022,1.7,ml,9,168,0.04531,0.33,uw,uw61117161,2016-01-06T21:51:28.210Z,"17km ESE of Enumclaw, Washington",explosion
2016-01-06T21:02:26.900Z,19.0398,-64.7594,48,2.7,Md,3,334.8,0.70877076,0.07,pr,pr16006039,2016-01-06T23:04:03.785Z,"70km NNW of Road Town, British Virgin Islands",earthquake
2016-01-06T20:54:03.000Z,65.1824,-148.9774,11.1,1.1,ml,,,,0.54,ak,ak12440961,2016-01-06T21:08:04.459Z,"58km NW of Ester, Alaska",earthquake
2016-01-06T20:32:58.000Z,59.6598,-152.0769,60.3,1.8,ml,,,,0.28,ak,ak12440955,2016-01-06T22:05:28.021Z,"18km SW of Anchor Point, Alaska",earthquake
2016-01-06T20:19:08.000Z,65.2338,-148.9918,12.3,1.2,ml,,,,0.5,ak,ak12440951,2016-01-06T20:25:06.214Z,"63km NW of Ester, Alaska",earthquake
2016-01-06T20:04:13.510Z,46.0056667,-112.4753333,-2,1.3,ml,6,100,0.232,0.15,mb,mb80118664,2016-01-06T20:38:58.960Z,"4km E of Butte, Montana",quarry blast
2016-01-06T19:35:44.000Z,61.6911,-148.0221,3.2,1.8,ml,,,,0.92,ak,ak12440844,2016-01-06T19:47:02.358Z,"45km ESE of Sutton-Alpine, Alaska",earthquake
2016-01-06T19:33:23.806Z,38.7578,-117.89,0,1.4,ml,12,99.72,0.334,0.1101,nn,nn00525624,2016-01-06T19:58:11.933Z,"12km SSE of Gabbs, Nevada",earthquake
2016-01-06T19:10:48.607Z,37.386,-115.0673,0,1.9,ml,10,69.75,0.024,0.0687,nn,nn00525620,2016-01-06T20:04:19.415Z,"8km ENE of Alamo, Nevada",earthquake
2016-01-06T19:06:48.600Z,18.6107,-67.074,24,2.4,Md,5,302.4,0.14552708,0.09,pr,pr16006038,2016-01-06T22:53:14.808Z,"13km NNW of Isabela, Puerto Rico",earthquake
2016-01-06T19:06:36.509Z,41.8813,-119.6038,6.9,1.7,ml,5,220.52,0.159,0.134,nn,nn00525622,2016-01-06T19:33:30.193Z,"70km ESE of Lakeview, Oregon",earthquake
2016-01-06T18:51:20.230Z,38.8131676,-122.784668,1.21,1.94,md,27,50,0.009798,0.04,nc,nc72574355,2016-01-07T06:21:34.004Z,"4km NNW of The Geysers, California",earthquake
